index,year_start,year_end,date,era,event,Source
2,-3200,-3200,c. 3200 BCE,Ancient & Classical,Cycladic culture in Greece,
3,-3200,-3200,c. 3200 BCE,Ancient & Classical,Norte Chico civilization begins in Peru,
4,-3200,-3200,c. 3200 BCE,Ancient & Classical,Rise of Proto-Elamite Civilization in Iran,
9,-3000,-3000,c. 3000 BCE,Ancient & Classical,Cucuteni-Trypillian culture in Romania and Ukraine,
10,-3000,-3000,c. 3000 BCE,Ancient & Classical,Jiroft civilization begins in Iran,
12,-2800,-2800,c. 2800 BCE,Ancient & Classical,Kot Diji phase of the Indus Valley Civilization begins,
13,-2800,-2800,c. 2800 BCE,Ancient & Classical,Longshan culture in China,
22,-2500,-1500,2500-1500 BCE,Ancient & Classical,Kerma culture in Nubia,
25,-2250,-2250,2250 BCE,Ancient & Classical,"Oldest known depiction of the Staff God, the oldest image of a god to be found in the Americas.",
26,-2200,-2100,2200-2100 BCE,Ancient & Classical,"The 4.2-kiloyear BP aridification event, which may have caused the collapse of the Old Kingdom in Egypt, the Akkadian Empire in Mesopotamia, and the Liangzhu culture in the Yangtze River area.",
30,-1900,-1900,1900 BCE,Ancient & Classical,Erlitou culture in China,
42,-1200,-1200,1200 BCE,Ancient & Classical,The Hallstatt culture,
47,-1000,-1000,1000 BCE,Ancient & Classical,Nok culture in West Africa,
53,-788,-788,788 BCE,Ancient & Classical,Iron Ancient in Sungai Batu (Old Kedah),
60,-700,-700,700 BCE,Ancient & Classical,The construction of Marib Dam in Arabia Felix.,
64,-600,-600,600 BCE,Ancient & Classical,Pandyan kingdom in South India.,
65,-600,-600,600 BCE,Ancient & Classical,Sixteen Maha Janapadas ('Great Realms' or 'Great Kingdoms') emerge in India.,
67,-600,-600,c. 600 BCE,Ancient & Classical,Rise of the Sao civilisation near Lake Chad,
99,-424,-424,424 BCE,Ancient & Classical,Nanda dynasty comes to power.,
101,-400,-400,400 BCE,Ancient & Classical,Zapotec culture flourishes around city of Monte Albán,
102,-400,-400,c. 400 BCE,Ancient & Classical,Rise of the Garamantes as an irrigation-based desert state in the Fezzan region of Libya,
112,-300,-300,300 BCE,Ancient & Classical,Sangam literature period in the history of ancient southern India (known as the Tamilakam),
113,-300,-300,300 BCE,Ancient & Classical,Chola Empire in South India,
117,-257,-257,257 BCE,Ancient & Classical,Thục Dynasty takes over Việt Nam (then Kingdom of Âu Lạc),
119,-250,-250,250 BCE,Ancient & Classical,"Rise of Parthia (Ashkâniân), the second native dynasty of ancient Persia",
121,-230,-230,230 BCE,Ancient & Classical,Emergence of Satavahanas in South India,
123,-207,-207,207 BCE,Ancient & Classical,Kingdom of Nan Yueh extends from Canton to North Việt Nam .,
126,-200,-200,200 BCE,Ancient & Classical,"El Mirador, largest early Maya city, flourishes.",
128,-200,-200,c. 200 BCE,Ancient & Classical,Chera dynasty in South India.,
129,-185,-185,185 BCE,Ancient & Classical,Shunga Empire founded.,
133,-111,-111,111 BCE,Ancient & Classical,First Chinese domination of Việt Nam in the form of the Nanyue Kingdom.,
134,-100,-100,c. 100 BCE,Ancient & Classical,Chola dynasty rises in prominence.,
135,-82,-82,c. 82 BCE,Ancient & Classical,Burebista becomes the king of Dacia.,
137,-60,-44,c. 60-44 BCE,Ancient & Classical,"Burebista conquers territories from south Germany to Thrace,reaching the coast of the Aegean sea.",
140,-44,-44,44 BCE,Ancient & Classical,Burebista is assassinated in the same year like Julius Caesar and his empire brokes in . and later . kingdoms in modern-day Romania.,
168,192,192,192,Ancient & Classical,Kingdom of Champa in Central Việt Nam.,
177,301,301,301,Ancient & Classical,Diocletian's edict on prices,
196,455,455,c. 455,Ancient & Classical,Skandagupta repels an Indo-Hephthalite attack on India.,
292,913,913,913,Medieval,Sri Kesari Warmadewa reigned in Walidwipa (Bali),
297,927,927,927,Medieval,"According to Theophanes Continuatus (The Continuer of Theophanes's Chronicle) – Tomislav of Croatia defeated Bulgarian army of Tsar Simeon I under Duke Alogobotur, in battle of the Bosnian Highlands.",
428,1330,1330,1330 28 July,Medieval,Battle of Velbazhd.,
434,1364,1364,1364,Medieval,Astrarium Giovanni de dondi,
450,1409,1409,1409,Medieval,"Ladislaus of Naples sells his 'rights' on Dalmatia to the Venetian Republic for 100,000 ducats. Dalmatia would with some interruptions remain under Venetian rule for nearly four centuries.",
460,1434,1434,1434,Medieval,Aronolfini Portrait Jan Van Eyck evidence on usage of convex mirror,
463,1442,1442,1442,Medieval,Battle of Szeben Third significant victory for the Hungarian forces led by Janos Hunyadi over the Ottoman forces.,
471,1459,1459,1459,Medieval,Smederevo falls under the Turks,
473,1464,1464,1464,Medieval,Dardanelles gun Turkish Munir Ali,
